,log_index,index,log_index_diff,pct_m
2003-04-01,-1.0461384705346382,8.992108312674292,0.0002398569260175787,0.05524435230452873
2003-05-01,-1.0478073157788008,8.957621017974894,-0.0016688452441626644,-0.38352846184900313
2003-06-01,-1.0481795464819248,8.949946794115702,-0.0003722307031239769,-0.08567256689910874
2003-07-01,-1.0462551585674285,8.989692600468183,0.0019243879144963394,0.44408986183706034
2003-08-01,-1.046149428850168,8.991881422577586,0.00010572971726041658,0.024348130761331355
2003-09-01,-1.0459773507595467,8.995444931743506,0.0001720780906213637,0.03963029535702933
2003-10-01,-1.0434248260290484,9.048470481991455,0.0025525247304982734,0.5894711228883409
2003-11-01,-1.042355088946454,9.07078579032636,0.0010697370825945018,0.24661967322892053
2003-12-01,-1.0414339784876476,9.090044755593864,0.0009211104588062735,0.2123185985501097
2004-01-01,-1.0396122021785532,9.128255717174504,0.001821776309094414,0.42036054395799827
2004-02-01,-1.039175552416947,9.137438092852978,0.0004366497616061782,0.10059288393073906
2004-03-01,-1.0366064511827007,9.191651479489572,0.0025691012342463626,0.5933105766154911
2004-04-01,-1.0328961012111342,9.270515807809518,0.0037103499715664956,0.8579995498733117
2004-05-01,-1.0297345418587747,9.33824917491456,0.003161559352359511,0.7306321299618057
2004-06-01,-1.0272834784315075,9.391101220970912,0.002451063427267197,0.5659738251398094
2004-07-01,-1.0252864582006929,9.434383843536756,0.0019970202308146057,0.46088974602032096
2004-08-01,-1.0237972984889923,9.466789087936963,0.001489159711700605,0.34348024139814193
2004-09-01,-1.0210726568992554,9.52636775803685,0.0027246415897368426,0.6293440103762871
2004-10-01,-1.0193571833736819,9.56407155351897,0.001715473525573552,0.3957835393275655
2004-11-01,-1.0193474866895709,9.564285097139399,9.696684110993559e-06,0.00223276895447988
2004-12-01,-1.015731817838982,9.644243836514047,0.003615668850588838,0.8360137591314709
2005-01-01,-1.0093262302989634,9.787544952298653,0.006405587540018631,1.4858719689567979
2005-02-01,-1.0052373648630697,9.880129458231204,0.004088865435893707,0.9459420762180981
2005-03-01,-0.998575542867775,10.032853186267275,0.006661821995294748,1.5457664667423154
2005-04-01,-0.9964512264150169,10.082048297823762,0.0021243164527580127,0.4903401917993655
2005-05-01,-0.9938500762556797,10.142614607168136,0.002601150159337262,0.6007341718195169
2005-06-01,-0.9898906793121522,10.23550608205506,0.003959396943527427,0.9158533424041604
2005-07-01,-0.9855514031729369,10.338287295863129,0.0043392761392153645,1.0041634774490271
2005-08-01,-0.9836582499409725,10.383451771584012,0.001893153231964373,0.4368661309978705
2005-09-01,-0.9786365759394178,10.504210688937006,0.005021674001554732,1.1629939639482112
2005-10-01,-0.9711451003530884,10.686977613303062,0.007491475586329344,0.7814088229314953
2005-11-01,-0.9661429149701024,10.810781381795323,0.005002185382986024,1.1584658113450996
2005-12-01,-0.9628715790180646,10.89252137833857,0.0032713359520377683,0.7567279208325117
2006-01-01,-0.9575557496812863,11.02666677223424,0.005315829336778322,1.2315463527033943
2006-02-01,-0.9562786732746511,11.059139256518435,0.0012770764066352136,0.2945421303864326
2006-03-01,-0.9519041169145761,11.171098549122375,0.004374556360074999,1.012552975480796
2006-04-01,-0.9485808851342693,11.256907951956668,0.0033232317803068012,0.7683443880777352
2006-05-01,-0.9468337386675175,11.30228518222606,0.001747146466751781,0.4031265914371973
2006-06-01,-0.9446628540306253,11.358922749324375,0.0021708846368921897,0.5011174871419888
2006-07-01,-0.9426707798986338,11.411144899394184,0.001992074131991539,0.4598686317481393
2006-08-01,-0.9410281125601907,11.454387930034187,0.0016426673384430934,0.37912188985382844
2006-09-01,-0.9381667849194548,11.530103747515556,0.002861327640735878,0.6613016869457367
2006-10-01,-0.9352451653979,11.607931446445052,0.0029216195215547858,0.675157909823676
2006-11-01,-0.931466370196808,11.709372709034458,0.0037787952010920334,0.8740333216319174
2006-12-01,-0.9258386579821218,11.862093475114586,0.005627712214686165,1.3047776297452685
2007-01-01,-0.9209595404235045,11.996110556503403,0.004879117558617363,1.1297938670968621
2007-02-01,-0.9188760679420108,12.053798634488775,0.0020834724814936534,0.48104963654997945
2007-03-01,-0.9150183165998982,12.161347084390037,0.0038577513421126364,1.0417470483833569
2007-04-01,-0.905277643144323,12.437192516195747,0.009740673455575166,2.2682144493661127
2007-05-01,-0.8963221386180535,12.696320043043524,0.008955504526269475,2.083488910462239
2007-06-01,-0.8849401279758053,13.033464459694933,0.011382010642248197,2.655449890270689
2007-07-01,-0.873999680000316,13.365965013858041,0.01094044797548932,2.551129480510217
2007-08-01,-0.859808891730875,13.809918267740617,0.01419078826944098,3.3215203946911354
2007-09-01,-0.8511909664196455,14.086692472043971,0.008617925311229513,2.0041697491425037
2007-10-01,-0.8450213819554522,14.288236104036697,0.006169584464193356,1.4307377859827275
2007-11-01,-0.8467751951822193,14.23065220918163,-0.0017538132267671536,-0.40301612064482795
2007-12-01,-0.8425441964469491,14.369968083830981,0.004230998735270219,0.9789844667797976
2008-01-01,-0.8338460669576397,14.660673875599267,0.00869812948930937,2.0230093071354593
2008-02-01,-0.8242409420553494,14.988530567274053,0.009605124902290374,2.2363002850807723
2008-03-01,-0.8069365043360697,15.597805325740527,0.017304437719279697,4.06493989341925
2008-04-01,-0.7941449765766406,16.064049119566995,0.012791527759429044,2.989162796236755
2008-05-01,-0.7930666065857821,16.103986336966468,0.0010783699908585298,0.24861239592968154
2008-06-01,-0.7826721459498884,16.494070785984626,0.010394460635893665,2.4222850222042958
2008-07-01,-0.776625171193412,16.725335137902555,0.00604697475647642,1.402105974435508
2008-08-01,-0.7730943999369648,16.861864695058895,0.003530771256447185,0.8163038649489085
2008-09-01,-0.768430917968411,17.043904104600706,0.004663481968553818,1.0795923987882095
2008-10-01,-0.7659060115349692,17.14328276185058,0.0025249064334418314,0.5830744918533082
2008-11-01,-0.7631384507913772,17.252877916574725,0.002767560743591968,0.6392891970961045
2008-12-01,-0.7612022884870431,17.3299660338807,0.0019361623043341325,0.4468130921619462
2009-01-01,-0.7562036928846498,17.530580893375756,0.004998595602393241,1.1576183075191482
2009-02-01,-0.7562497132812069,17.52872334838043,-4.602039655710044e-05,-0.010596026490072852
2009-03-01,-0.7462184261166187,17.938312019849494,0.010031287164588232,2.3366714353838747
2009-04-01,-0.7383746183597668,18.265239939026618,0.007843807756851895,1.8225121673397515
2009-05-01,-0.7346365535668036,18.42313126362921,0.003738064792963236,0.8644360825790898
2009-06-01,-0.7323437196920728,18.52065237588375,0.002292833874730782,0.5293405928614492
2009-07-01,-0.7280096237259541,18.706406875416217,0.004334095966118667,1.0029587282483376
2009-08-01,-0.7200191318829443,19.05376778954191,0.007990491843009817,1.856908793009282
2009-09-01,-0.7133805342675346,19.347259898803195,0.006638597615409747,1.540336339263959
2009-10-01,-0.7062262165705295,19.66861518299435,0.00715431769700503,1.6609860304354074
2009-11-01,-0.7012711866900392,19.894306899926274,0.004955029880490347,1.1474713132171521
2009-12-01,-0.6875804874993436,20.53144483332261,0.013690699190695543,3.202614379084978
2010-01-01,-0.6780590871215861,20.98654335717714,0.009521400377757505,2.216592780240667
2010-02-01,-0.6595468524268053,21.900455494876837,0.018512234694780805,4.3547530536378165
2010-03-01,-0.6482752872054447,22.476294443427445,0.011271565221360635,2.62934690415606
